[20:13:22][no_game_date][dlc.cpp:222]: Invalid supported_version in  file: mod/ugc_3047188499.mod line: 7
[20:13:22][no_game_date][dlc.cpp:222]: Invalid supported_version in  file: mod/ugc_3375256356.mod line: 6
[20:13:22][no_game_date][persistent.cpp:66]: Error: "Unexpected token: thumbnail.png, near line: 8" in file: "mod/ugc_3585920882.mod" near line: 8
Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: MOR: }, near line: 160
Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: MRT: }, near line: 160
Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: QAT: }, near line: 160
Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: SOM: }, near line: 160
Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: SUD: }, near line: 160
Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: TUN: }, near line: 160
Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: UAE: }, near line: 160
Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: WES: }, near line: 160" in file: "common/units/names_divisions/ARBC_names_divisions.txt" near line: 160
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: ALG: }, near line: 198
Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: ERI: }, near line: 198
Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: KUW: }, near line: 198
Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: MOR: }, near line: 198
Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: MRT: }, near line: 198
Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: QAT: }, near line: 198
Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: SOM: }, near line: 198
Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: SUD: }, near line: 198
Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: TUN: }, near line: 198
Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: UAE: }, near line: 198
Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: WES: }, near line: 198" in file: "common/units/names_divisions/ARBC_names_divisions.txt" near line: 198
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: ALG: }, near line: 240
Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: ERI: }, near line: 240
Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: KUW: }, near line: 240
Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: MOR: }, near line: 240
Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: MRT: }, near line: 240
Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: QAT: }, near line: 240
Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: SOM: }, near line: 240
Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: SUD: }, near line: 240
Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: TUN: }, near line: 240
Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: UAE: }, near line: 240
Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: WES: }, near line: 240" in file: "common/units/names_divisions/ARBC_names_divisions.txt" near line: 240
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: ALG: }, near line: 282
Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: ERI: }, near line: 282
Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: KUW: }, near line: 282
Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: MOR: }, near line: 282
Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: MRT: }, near line: 282
Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: QAT: }, near line: 282
Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: SOM: }, near line: 282
Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: SUD: }, near line: 282
Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: TUN: }, near line: 282
Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: UAE: }, near line: 282
Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: WES: }, near line: 282" in file: "common/units/names_divisions/ARBC_names_divisions.txt" near line: 282
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: ALG: }, near line: 316
Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: ERI: }, near line: 316
Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: KUW: }, near line: 316
Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: MOR: }, near line: 316
Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: MRT: }, near line: 316
Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: QAT: }, near line: 316
Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: SOM: }, near line: 316
Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: SUD: }, near line: 316
Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: TUN: }, near line: 316
Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: UAE: }, near line: 316
Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: WES: }, near line: 316" in file: "common/units/names_divisions/ARBC_names_divisions.txt" near line: 316
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: ALG: }, near line: 350
Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: ERI: }, near line: 350
Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: KUW: }, near line: 350
Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: MOR: }, near line: 350
Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: MRT: }, near line: 350
Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: QAT: }, near line: 350
Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: SOM: }, near line: 350
Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: SUD: }, near line: 350
Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: TUN: }, near line: 350
Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: UAE: }, near line: 350
Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: WES: }, near line: 350" in file: "common/units/names_divisions/ARBC_names_divisions.txt" near line: 350
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: BAY: }, near line: 38" in file: "common/units/names_divisions/BAY_names_divisions.txt" near line: 38
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: BAY: }, near line: 110" in file: "common/units/names_divisions/BAY_names_divisions.txt" near line: 110
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: BAY: }, near line: 152" in file: "common/units/names_divisions/BAY_names_divisions.txt" near line: 152
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Armored Divisions. There is unknown tag in for_countries scope: BAY: }, near line: 224" in file: "common/units/names_divisions/BAY_names_divisions.txt" near line: 224
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Mechanized Divisions. There is unknown tag in for_countries scope: BAY: }, near line: 276" in file: "common/units/names_divisions/BAY_names_divisions.txt" near line: 276
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Garrison Divisions. There is unknown tag in for_countries scope: BAY: }, near line: 348" in file: "common/units/names_divisions/BAY_names_divisions.txt" near line: 348
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Marine Divisions. There is unknown tag in for_countries scope: BAY: }, near line: 423" in file: "common/units/names_divisions/BAY_names_divisions.txt" near line: 423
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Mountain Divisions. There is unknown tag in for_countries scope: BAY: }, near line: 456" in file: "common/units/names_divisions/BAY_names_divisions.txt" near line: 456
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Paratrooper Divisions. There is unknown tag in for_countries scope: BAY: }, near line: 512" in file: "common/units/names_divisions/BAY_names_divisions.txt" near line: 512
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Ranger Divisions. There is unknown tag in for_countries scope: BAY: }, near line: 543" in file: "common/units/names_divisions/BAY_names_divisions.txt" near line: 543
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: GNB: }, near line: 37" in file: "common/units/names_divisions/BRA_names_divisions.txt" near line: 37
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Cavalry Division. There is unknown tag in for_countries scope: GNB: }, near line: 79" in file: "common/units/names_divisions/BRA_names_divisions.txt" near line: 79
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Motorized Division. There is unknown tag in for_countries scope: GNB: }, near line: 111" in file: "common/units/names_divisions/BRA_names_divisions.txt" near line: 111
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Mechanized Division. There is unknown tag in for_countries scope: GNB: }, near line: 143" in file: "common/units/names_divisions/BRA_names_divisions.txt" near line: 143
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Armored Division. There is unknown tag in for_countries scope: GNB: }, near line: 175" in file: "common/units/names_divisions/BRA_names_divisions.txt" near line: 175
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Parachute Division. There is unknown tag in for_countries scope: GNB: }, near line: 207" in file: "common/units/names_divisions/BRA_names_divisions.txt" near line: 207
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Marine Division. There is unknown tag in for_countries scope: GNB: }, near line: 239" in file: "common/units/names_divisions/BRA_names_divisions.txt" near line: 239
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Mountain Division. There is unknown tag in for_countries scope: GNB: }, near line: 271" in file: "common/units/names_divisions/BRA_names_divisions.txt" near line: 271
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Garrison Division. There is unknown tag in for_countries scope: GNB: }, near line: 303" in file: "common/units/names_divisions/BRA_names_divisions.txt" near line: 303
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Infantry Divisions. There is unknown tag in for_countries scope: BRM: }, near line: 37" in file: "common/units/names_divisions/BRM_names_division.txt" near line: 37
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Cavalry Divisions. There is unknown tag in for_countries scope: BRM: }, near line: 156" in file: "common/units/names_divisions/BRM_names_division.txt" near line: 156
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Motorised Divisions. There is unknown tag in for_countries scope: BRM: }, near line: 229" in file: "common/units/names_divisions/BRM_names_division.txt" near line: 229
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Armoured Divisions. There is unknown tag in for_countries scope: BRM: }, near line: 282" in file: "common/units/names_divisions/BRM_names_division.txt" near line: 282
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Mechanised Divisions. There is unknown tag in for_countries scope: BRM: }, near line: 335" in file: "common/units/names_divisions/BRM_names_division.txt" near line: 335
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Hkantaut Hcaitsarr Divisions. There is unknown tag in for_countries scope: BRM: }, near line: 388" in file: "common/units/names_divisions/BRM_names_division.txt" near line: 388
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Raytaut Hcaitsarr Division. There is unknown tag in for_countries scope: BRM: }, near line: 460" in file: "common/units/names_divisions/BRM_names_division.txt" near line: 460
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Taungtaat Samarr Division. There is unknown tag in for_countries scope: BRM: }, near line: 510" in file: "common/units/names_divisions/BRM_names_division.txt" near line: 510
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Layhtee Samarr Divisions. There is unknown tag in for_countries scope: BRM: }, near line: 583" in file: "common/units/names_divisions/BRM_names_division.txt" near line: 583
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Infantry Unit. There is unknown tag in for_countries scope: SND: }, near line: 37
Error reading division names group - Infantry Unit. There is unknown tag in for_countries scope: GDC: }, near line: 37
Error reading division names group - Infantry Unit. There is unknown tag in for_countries scope: XIC: }, near line: 37" in file: "common/units/names_divisions/CHI_names_divisions.txt" near line: 37
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Cavalry Unit. There is unknown tag in for_countries scope: SND: }, near line: 210
Error reading division names group - Cavalry Unit. There is unknown tag in for_countries scope: GDC: }, near line: 210
Error reading division names group - Cavalry Unit. There is unknown tag in for_countries scope: XIC: }, near line: 210" in file: "common/units/names_divisions/CHI_names_divisions.txt" near line: 210
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: CSA: }, near line: 37" in file: "common/units/names_divisions/CSA_names_divisions.txt" near line: 37
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Cavalry Division. There is unknown tag in for_countries scope: CSA: }, near line: 154" in file: "common/units/names_divisions/CSA_names_divisions.txt" near line: 154
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Motorized Division. There is unknown tag in for_countries scope: CSA: }, near line: 188" in file: "common/units/names_divisions/CSA_names_divisions.txt" near line: 188
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Mechanized Division. There is unknown tag in for_countries scope: CSA: }, near line: 303" in file: "common/units/names_divisions/CSA_names_divisions.txt" near line: 303
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Armored Division. There is unknown tag in for_countries scope: CSA: }, near line: 418" in file: "common/units/names_divisions/CSA_names_divisions.txt" near line: 418
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Airborne Division. There is unknown tag in for_countries scope: CSA: }, near line: 463" in file: "common/units/names_divisions/CSA_names_divisions.txt" near line: 463
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Marine Division. There is unknown tag in for_countries scope: CSA: }, near line: 495" in file: "common/units/names_divisions/CSA_names_divisions.txt" near line: 495
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Mountain Division. There is unknown tag in for_countries scope: CSA: }, near line: 566" in file: "common/units/names_divisions/CSA_names_divisions.txt" near line: 566
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Garrison Division. There is unknown tag in for_countries scope: CSA: }, near line: 598" in file: "common/units/names_divisions/CSA_names_divisions.txt" near line: 598
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Ranger Divisions. There is unknown tag in for_countries scope: CSA: }, near line: 689" in file: "common/units/names_divisions/CSA_names_divisions.txt" near line: 689
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: BAH: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: BAN: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: BAS: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: BLZ: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: BRM: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: CYP: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: FIJ: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: GAM: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: GHA: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: GYA: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: JAM: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: MLD: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: MLT: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: MLW: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: NGA: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: NIR: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: NMB: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: PNG: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: SCO: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: SIE: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: SRL: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: TRI: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: TZN: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: UGA: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: WLS: }, near line: 42
Error reading division names group - Infantry Division. There is unknown tag in for_countries scope: ZAM: }, near line: 42" in file: "common/units/names_divisions/ENGL_names_divisions.txt" near line: 42
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: BAH: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: BAN: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: BAS: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: BLZ: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: BRM: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: CYP: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: FIJ: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: GAM: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: GHA: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: GYA: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: JAM: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: MLD: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: MLT: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: MLW: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: NGA: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: NIR: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: NMB: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: PNG: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: SCO: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: SIE: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: SRL: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: TRI: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: TZN: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: UGA: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: WLS: }, near line: 87
Error reading division names group - Infantry Brigade. There is unknown tag in for_countries scope: ZAM: }, near line: 87" in file: "common/units/names_divisions/ENGL_names_divisions.txt" near line: 87
[20:13:38][no_game_date][persistent.cpp:66]: Error: "Error reading division names group - Cavalry Division. There is unknown tag in for_countries scope: BAH: }, near line: 132
Error reading division names group - Cavalry Division. There is unknown tag in for_countries scope: BAN: }, near line: 132
Error reading division names group - Cavalry Division. There is unknown tag in for_countries scope: BAS: }, near line: 132
Error reading division names group - Cavalry Division. There is unknown tag in for_countries scope: BLZ: }, near line: 132
Error reading division names group - Cavalry Division. There is unknown tag in for_countries scope: BRM: }, near line: 132
